id,CountyName,StateName,geocentroid,popcentroid,difference,area,population,WeightedDifference
46019,Butte,South Dakota,"44.90611651,-103.5079826","44.672144,-103.761216",32827.3,5827.21,10110,430
35023,Hidalgo,New Mexico,"31.91390364,-108.7148591","32.275633,-108.76674",40409.5,8901.43,4894,428.3
51810,Virginia Beach,Virginia,"36.73384895,-76.04602585","36.821554,-76.099445",10838.4,644.95,437994,426.8
31053,Dodge,Nebraska,"41.58003518,-96.65517593","41.473485,-96.53063",15751,1369.34,36691,425.6
48375,Potter,Texas,"35.40134122,-101.8939771","35.221681,-101.836644",20603.3,2352.67,121073,424.8
48047,Brooks,Texas,"27.02925308,-98.21983077","27.204776,-98.144221",20843.7,2443.3,7223,421.7
18165,Vermillion,Indiana,"39.85963682,-87.46099208","39.763164,-87.440231",10858,665.31,16212,421
36119,Westchester,New York,"41.1616427,-73.75642794","41.040536,-73.804532",14043.6,1114.98,949113,420.6
49027,Millard,Utah,"39.07334742,-113.1027893","39.214604,-112.494882",54843.7,17022.5,12503,420.4
05131,Sebastian,Arkansas,"35.19394398,-94.27412008","35.318195,-94.354435",15602.8,1377.64,125744,420.4
16053,Jerome,Idaho,"42.68939922,-114.2621328","42.698447,-114.462669",16463.6,1546.7,22374,418.6
41015,Curry,Oregon,"42.45925502,-124.1578177","42.249909,-124.328547",27177.5,4215.1,22364,418.6
46127,Union,South Dakota,"42.82655065,-96.65184618","42.702762,-96.600368",14382.5,1192.8,14399,416.4
35047,San Miguel,New Mexico,"35.48006262,-104.8173469","35.573296,-105.309684",45837.1,12213.92,29393,414.8
27095,Mille Lacs,Minnesota,"45.93723067,-93.62991807","45.794231,-93.624487",15899.8,1482.28,26097,413
16085,Valley,Idaho,"44.76672543,-115.5656429","44.758677,-116.073719",40235.1,9491.05,9862,413
15007,Kauai,Hawaii,"22.04172973,-159.6007735","22.021022,-159.442112",16539.8,1605.68,67091,412.8
31071,Garfield,Nebraska,"41.91428964,-98.99111815","41.800943,-99.107238",15857.6,1475.75,2049,412.8
08123,Weld,Colorado,"40.55463122,-104.393428","40.328082,-104.788507",41909.3,10326.9,252825,412.4
38035,Grand Forks,North Dakota,"47.92083296,-97.45684457","47.907658,-97.120998",25146.9,3720.2,66861,412.3
26053,Gogebic,Michigan,"46.40728735,-89.69501693","46.435975,-89.978538",22027.1,2853.78,16427,412.3
48037,Bowie,Texas,"33.44152532,-94.41557326","33.436159,-94.203466",19732.4,2292.15,92565,412.2
20175,Seward,Kansas,"37.19332965,-100.8505923","37.052196,-100.9161",16709.9,1656.29,22952,410.6
27071,Koochiching,Minnesota,"48.24553638,-93.783707","48.509405,-93.485728",36717.7,8039.5,13311,409.5
48233,Hutchinson,Texas,"35.84006574,-101.3546643","35.6807,-101.448842",19626.6,2298.4,22150,409.4
08059,Jefferson,Colorado,"39.58580195,-105.2490433","39.720524,-105.128819",18171.5,1979.29,534543,408.4
13153,Houston,Georgia,"32.45686012,-83.66717887","32.571603,-83.663357",12729.6,972.65,139900,408.2
34005,Burlington,New Jersey,"39.87530118,-74.66781519","39.982667,-74.834269",18562.7,2068.3,448734,408.2
05105,Perry,Arkansas,"34.94737327,-92.93593114","34.999054,-92.779271",15412,1428.12,10445,407.8
05085,Lonoke,Arkansas,"34.75564317,-91.88957926","34.905178,-91.970577",18168.5,1996.18,68356,406.6
22113,Vermilion,Louisiana,"29.84474502,-92.32284614","29.993689,-92.165923",22410.2,3038.57,57999,406.5
55031,Douglas,Wisconsin,"46.43311781,-91.91587263","46.633029,-92.017477",23549.8,3377.7,44159,405.2
41051,Multnomah,Oregon,"45.54683935,-122.4208553","45.517889,-122.588705",13500.3,1117.05,735334,403.9
53039,Klickitat,Washington,"45.87442635,-120.7894509","45.797495,-121.132931",28022.1,4846.68,20318,402.5
12077,Liberty,Florida,"30.23298849,-84.87817933","30.399795,-84.905169",18673.1,2164.1,8365,401.4
08085,Montrose,Colorado,"38.40266194,-108.2705407","38.479142,-107.934568",30535.6,5803.37,41276,400.8
46117,Stanley,South Dakota,"44.41182273,-100.7361039","44.363198,-100.436337",24489.6,3741.06,2966,400.4
36093,Schenectady,New York,"42.81227823,-74.05849973","42.809284,-73.946182",9192.6,529.69,154727,399.4
19045,Clinton,Iowa,"41.90217259,-90.52846103","41.852707,-90.335737",16915.1,1799.82,49116,398.7
72139,Trujillo Alto,Puerto Rico,"18.3275938,-65.99469418","18.35075,-66.007967",2921.9,53.78,74842,398.4
55003,Ashland,Wisconsin,"46.29894633,-90.67834908","46.470378,-90.783551",20703.3,2706.63,16157,397.9
02050,Bethel,Alaska,"60.9133146,-159.8345291","60.679946,-162.151263",128798,105075.82,17013,397.3
40017,Canadian,Oklahoma,"35.54125756,-97.98273958","35.491254,-97.78114",19110.3,2322.25,115541,396.6
13053,Chattahoochee,Georgia,"32.3445796,-84.79246627","32.344231,-84.899254",10052.9,644.22,11267,396.1
28035,Forrest,Mississippi,"31.18782436,-89.25682437","31.309039,-89.287875",13761.1,1207.75,74934,396
05107,Phillips,Arkansas,"34.43531846,-90.85059296","34.529768,-90.707796",16788,1801.76,21757,395.5
13299,Ware,Georgia,"31.05868316,-82.42211768","31.22682,-82.383943",18993.8,2311.46,36312,395.1
06039,Madera,California,"37.21826572,-119.7589229","37.043099,-120.00675",29374.6,5534.98,150865,394.8
53053,Pierce,Washington,"47.03632061,-122.141263","47.179454,-122.410936",25926.5,4324.01,795225,394.3
51087,Henrico,Virginia,"37.54667698,-77.41202668","37.60276,-77.495683",9662.1,605.27,306935,392.7
48485,Wichita,Texas,"33.98760989,-98.70393884","33.922335,-98.551696",15825.7,1625.93,131500,392.5
18019,Clark,Indiana,"38.47973599,-85.70776285","38.371546,-85.732035",12195.2,965.69,110232,392.4
48017,Bailey,Texas,"34.06860316,-102.8298267","34.216557,-102.745529",18160.2,2141.39,7165,392.4
32029,Storey,Nevada,"39.44707854,-119.5314171","39.389364,-119.624138",10237.8,680.96,4010,392.3
05039,Dallas,Arkansas,"33.9694065,-92.65607661","33.869213,-92.527123",16300.5,1728.52,8116,392.1
08033,Dolores,Colorado,"37.7511931,-108.5240019","37.740817,-108.75741",20603.5,2763.65,2064,391.9
04011,Greenlee,Arizona,"33.21426729,-109.2401689","32.970402,-109.248712",27057.9,4773.67,8437,391.6
08031,Denver,Colorado,"39.75821238,-104.8776306","39.72143,-104.955068",7793.4,396.27,600158,391.5
41007,Clatsop,Oregon,"45.99469054,-123.6561626","46.098033,-123.837442",18133,2147.23,37039,391.3
31119,Madison,Nebraska,"41.91663002,-97.60075903","42.003908,-97.461692",15063,1483.4,34876,391.1
48427,Starr,Texas,"26.56485759,-98.740319","26.388176,-98.84119",22008.2,3168.02,60968,391
46017,Buffalo,South Dakota,"44.07662535,-99.20685073","44.05926,-99.375243",13628,1220.88,1912,390
08071,Las Animas,Colorado,"37.31542385,-104.0388589","37.196601,-104.503149",43247.8,12361.16,15507,389
48475,Ward,Texas,"31.50923384,-103.099679","31.565078,-102.921099",18053.8,2164.2,10658,388.1
54099,Wayne,West Virginia,"38.14570247,-82.42788363","38.261889,-82.491282",14041.4,1310.48,42481,387.9
42035,Clinton,Pennsylvania,"41.23584139,-77.63436626","41.141257,-77.451745",18576.2,2299.87,39238,387.4
28049,Hinds,Mississippi,"32.26760376,-90.44530674","32.303868,-90.255669",18310.7,2252.62,245285,385.8
48461,Upton,Texas,"31.36868325,-102.0423228","31.183695,-102.122277",21878,3215.01,3355,385.8
